Año;Gini;TI;PBI;TRG;CRED;PI;Activos;Pasivos;EDU;DEXT;INT
1996;54.26;-3.510283419;2.79912575;5684.05601;29059.80463;-28727.64544;14885.37405;43613.01949;0.148813007;22856.88;23.52729731
1997;53.7;6.482564198;6.476815914;6045.183781;38374.20058;-24054.41593;16247.32302;40301.73895;0.149726313;22844.16;22.87309301
1998;56.1;-3.506283902;-0.391676255;6429.25525;46442.4804;-25959.21;15217.7841;41176.9941;0.150645224;22831.45;22.23707962
1999;56.3;-6.271752081;1.494792128;6837.728111;49545.44385;-26683.76121;14552.40586;41236.16707;0.151569775;22818.75;21.61875135
2000;49.1;-1.165522793;2.694359246;7272.152668;48008.40068;-26943.46093;14377.13536;41320.59629;0.1525;22806.05;21.01761642
2001;51.3;-0.477805905;0.617833916;7734.177722;42798.5803;-27043.19045;14412.93808;41456.12852;0.148;22793.36;20.43319675
2002;53.6;7.370085665;5.453705392;8225.556828;42781.34888;-27579.63181;15114.09309;42693.7249;0.1458;22780.68;19.86502757
2003;53.1;2.016668792;4.164882674;8748.154951;40838.26392;-28153.32654;16995.06331;45148.38985;0.1466;22768;19.312657
2004;49.9;14.03287794;4.958281234;9455.359597;40823.70537;-27152.28454;20061.73484;47214.01938;0.1527;24466;21.13954528
2005;50.4;6.072283461;6.285208166;10299.00808;47808.86152;-26931.59692;24004.52806;50936.12498;0.1428;22279.3;21.80981121
2006;50.3;29.8282931;7.528776892;10274.77769;50777.37205;-26465.94999;31448.15288;57914.10287;0.1404;21971.627;21.69576188
2007;50;6.041974995;8.518449753;12499.54092;67701.37014;-32935.12442;46188.89552;79124.01995;0.1414;20081.39;17.66302374
2008;47.5;-11.87930665;9.143148198;14536.86347;90612.62884;-31874.25192;46782.70605;78656.95798;0.1453;19237.2062;15.34995825
2009;47;-2.678018368;1.049232382;13180.33935;91768.46141;-33661.42237;55650.85672;89312.27909;0.146;20600.26005;19.6506674
2010;45.5;21.01343503;8.450746875;14005.84086;104896.0717;-42527.23621;71955.85733;114483.0935;0.1356;19904.56919;16.31772726
2011;44.7;7.899781246;6.452216002;16465.79889;127594.4616;-41082.85808;79045.98219;120128.8403;0.1355;20203.868;13.4836663
2012;44.4;-2.874440788;5.95034634;15260.60524;143381.7524;-47035.63433;100525.4312;147561.0655;0.1437;20401.74103;16.01142929
2013;43.9;-5.956229049;5.83753976;17544.5577;171751.5231;-53183.98048;103502.2128;156686.1933;0.1522;18777.78838;12.65492825
2014;43.2;-5.368426181;2.394076363;20323.31622;194938.1373;-60373.25457;106153.9905;166527.2451;0.1622;19764.433;12.05662582
2015;43.4;-6.910012878;3.273577319;20813.16168;225466.9073;-65803.60507;106615.7996;172419.4047;0.1757;23629.97771;11.20268536
2016;43.6;-0.267583679;4.049993434;20692.49908;234802.9587;-75945.33499;110357.773;186303.1079;0.1787;23761.53865;13.48538187
2017;43.3;7.522176403;2.475046589;22514.95123;243367.0097;-79105.09683;121280.6688;200385.7656;0.1824;22710.33258;14.23821303
2018;42.8;-0.383671583;3.969230175;24661.57461;267601.5942;-83473.02331;121205.0306;204678.0539;0.1713;22977.0281;11.84360311
2019;42.4;-1.759142975;2.176737156;24927.92804;294720.4434;-85444.15478;131779.5286;217223.6834;0.172351315;22553.58547;11.95750488
